Sample Name,Analysis Name,Mineral phase,Context,Unit Abbreviation,SiO2  ,TiO2,   Al2O3 ,FeO*   ,FeO,Fe2O3,CaO   ,Na2O  ,K2O,MnO   ,MgO   ,NiO   ,Cr2O3 ,V2O3 ,Total  ,XAb,XAn,XOr,XFa,XFo,XTp,XWo,XEn,XFs,XJd,XAe,XQuad,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX1,Pyroxene,Groundmass,han1,48.2,2.9,4.0,n/a,8.2,2.7,21.7,0.7,n/a,0.2,11.6,n/a,n/a,n/a,100.2,n/a,n/a,n/a,n/a,n/a,n/a,46,34,14,4,2,94,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX2,Pyroxene,Groundmass,han1,47.2,3.0,4.1,n/a,7.6,3.2,21.3,0.8,n/a,0.2,11.4,n/a,n/a,n/a,98.8,n/a,n/a,n/a,n/a,n/a,n/a,46,34,13,4,2,93,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX3,Pyroxene,Groundmass,han1,48.9,2.3,3.2,n/a,8.6,2.3,21.4,0.6,n/a,0.3,12.0,n/a,n/a,n/a,99.6,n/a,n/a,n/a,n/a,n/a,n/a,45,35,14,3,1,95,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX4,Pyroxene,Groundmass,han1,45.8,3.4,4.8,n/a,7.4,4.1,20.8,0.7,n/a,0.3,11.1,n/a,n/a,n/a,98.4,n/a,n/a,n/a,n/a,n/a,n/a,46,34,13,4,2,94,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX5,Pyroxene,Groundmass,han1,50.1,1.2,1.2,n/a,8.1,2.8,21.4,0.6,n/a,0.3,12.5,n/a,n/a,n/a,98.2,n/a,n/a,n/a,n/a,n/a,n/a,45,37,13,2,3,95,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX6,Pyroxene,Groundmass,han1,47.6,2.9,3.4,n/a,8.1,3.3,20.5,1.0,n/a,0.3,11.3,n/a,n/a,n/a,98.4,n/a,n/a,n/a,n/a,n/a,n/a,44,34,14,5,3,92,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX7,Pyroxene,Groundmass,han1,45.5,3.5,5.3,n/a,7.1,4.0,21.0,0.7,n/a,0.3,11.1,n/a,n/a,n/a,98.5,n/a,n/a,n/a,n/a,n/a,n/a,47,35,12,4,2,94,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX8,Pyroxene,Groundmass,han1,47.1,2.9,4.3,n/a,8.1,3.0,20.9,0.7,n/a,0.3,11.4,n/a,n/a,n/a,98.7,n/a,n/a,n/a,n/a,n/a,n/a,46,35,14,4,2,94,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX9,Pyroxene,Groundmass,han1,45.4,3.8,5.3,n/a,7.5,3.7,21.1,0.8,n/a,0.3,10.9,n/a,n/a,n/a,98.8,n/a,n/a,n/a,n/a,n/a,n/a,47,34,13,4,2,93,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX10,Pyroxene,Groundmass,han1,47.2,2.8,3.6,n/a,8.4,2.7,20.4,0.8,n/a,0.3,11.3,n/a,n/a,n/a,97.5,n/a,n/a,n/a,n/a,n/a,n/a,45,34,14,4,2,93,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX11,Pyroxene,Groundmass,han1,48.2,2.2,3.3,n/a,8.6,1.5,21.1,0.7,n/a,0.3,11.5,n/a,n/a,n/a,97.4,n/a,n/a,n/a,n/a,n/a,n/a,45,34,14,4,1,94,,,,,,,,,,
R14AC101,R14AC101-GM-PYRX12,Pyroxene,Groundmass,han1,47.6,2.6,3.9,n/a,9.0,2.1,20.7,0.6,n/a,0.3,11.5,n/a,n/a,n/a,98.3,n/a,n/a,n/a,n/a,n/a,n/a,45,35,15,4,1,95,,,,,,,,,,
R16MS092,R16MS092-GM-PYRX1,Pyroxene,Groundmass,md1,45.3,4.4,5.0,n/a,10.5,1.9,21.2,0.8,n/a,0.2,9.1,n/a,n/a,n/a,98.4,n/a,n/a,n/a,n/a,n/a,n/a,47,28,18,5,1,93,,,,,,,,,,
R16MS092,R16MS092-GM-PYRX2,Pyroxene,Groundmass,md1,47.3,3.5,2.3,n/a,11.2,3.5,21.6,0.9,n/a,0.4,8.9,n/a,n/a,n/a,99.6,n/a,n/a,n/a,n/a,n/a,n/a,47,27,19,4,3,92,,,,,,,,,,
R16MS092,R16MS092-GM-PYRX3,Pyroxene,Groundmass,md1,45.6,4.2,5.0,n/a,9.4,3.3,21.0,0.8,n/a,0.2,10.0,n/a,n/a,n/a,99.5,n/a,n/a,n/a,n/a,n/a,n/a,46,31,16,4,2,93,,,,,,,,,,
R16MS092,R16MS092-GM-PYRX4,Pyroxene,Groundmass,md1,45.8,4.2,4.5,n/a,13.0,1.6,20.5,0.9,n/a,0.4,8.3,n/a,n/a,n/a,99.2,n/a,n/a,n/a,n/a,n/a,n/a,45,25,22,6,1,92,,,,,,,,,,
R16MS095,R16MS095-GM-PYRX1,Pyroxene,Groundmass,md1,48.0,1.8,7.1,n/a,4.5,3.0,22.1,0.5,n/a,0.2,13.3,n/a,n/a,n/a,100.5,n/a,n/a,n/a,n/a,n/a,n/a,48,40,8,3,0.8,96,,,,,,,,,,
R16MS095,R16MS095-GM-PYRX2,Pyroxene,Groundmass,md1,53.1,0.4,0.3,n/a,11.6,4.0,19.2,2.1,n/a,0.3,9.8,n/a,n/a,n/a,100.8,n/a,n/a,n/a,n/a,n/a,n/a,39,27,18,2,14,84,,,,,,,,,,
R14AC21,AC21-PYX1,Pyroxene,Groundmass,md1,49.6,1.7,1.6,n/a,13.9,2.5,20.0,1.0,n/a,0.6,8.9,n/a,n/a,n/a,99.8,n/a,n/a,n/a,n/a,n/a,n/a,42,26,23,4,4,91,,,,,,,,,,
R14AC21,AC21-PYX2,Pyroxene,Groundmass,md1,48.9,1.5,1.7,n/a,12.0,4.6,20.6,1.3,n/a,0.5,8.2,n/a,n/a,n/a,99.3,n/a,n/a,n/a,n/a,n/a,n/a,44,25,20,4,6,89,,,,,,,,,,
R14AC21,AC21-PYX3,Pyroxene,Groundmass,md1,49.9,0.7,2.7,n/a,11.1,3.3,20.7,1.5,n/a,0.4,8.2,n/a,n/a,n/a,98.5,n/a,n/a,n/a,n/a,n/a,n/a,45,25,19,7,5,88,,,,,,,,,,
R14AC21,AC21-PYX4,Pyroxene,Groundmass,md1,50.6,0.8,1.2,n/a,10.7,3.2,20.1,0.6,n/a,0.7,11.9,n/a,n/a,n/a,99.8,n/a,n/a,n/a,n/a,n/a,n/a,42,35,17,2,3,94,,,,,,,,,,
R14AC21,AC21-PYX5,Pyroxene,Groundmass,md1,49.8,1.3,2.1,n/a,12.5,2.6,19.5,0.8,n/a,0.5,10.5,n/a,n/a,n/a,99.6,n/a,n/a,n/a,n/a,n/a,n/a,41,31,21,3,3,93,,,,,,,,,,
R14AC21,AC21-PYX6,Pyroxene,Groundmass,md1,51.2,0.9,1.2,n/a,12.8,2.5,20.3,0.7,n/a,0.6,10.7,n/a,n/a,n/a,100.9,n/a,n/a,n/a,n/a,n/a,n/a,42,31,21,2,3,94,,,,,,,,,,
R14AC21,AC21-PYX7,Pyroxene,Groundmass,md1,49.1,1.6,2.2,n/a,13.0,1.9,19.0,0.7,n/a,0.6,10.3,n/a,n/a,n/a,98.4,n/a,n/a,n/a,n/a,n/a,n/a,41,31,22,4,2,94,,,,,,,,,,
R14AC21,AC21-PYX10,Pyroxene,Groundmass,md1,50.6,1.1,2.3,n/a,12.3,2.9,19.7,1.5,n/a,0.5,8.6,n/a,n/a,n/a,99.5,n/a,n/a,n/a,n/a,n/a,n/a,42,25,20,6,5,88,,,,,,,,,,
R14AC21,AC21-PYX11,Pyroxene,Groundmass,md1,49.9,0.9,0.8,n/a,13.7,2.4,20.2,0.7,n/a,0.6,9.4,n/a,n/a,n/a,98.6,n/a,n/a,n/a,n/a,n/a,n/a,43,28,23,2,4,94,,,,,,,,,,
R14AC21,AC21-PYX12,Pyroxene,Groundmass,md1,50.1,1.0,1.6,n/a,10.8,2.6,20.0,0.6,n/a,0.5,11.8,n/a,n/a,n/a,99.0,n/a,n/a,n/a,n/a,n/a,n/a,42,35,18,2,2,95,,,,,,,,,,
R14AC21,AC21-PYX13,Pyroxene,Groundmass,md1,49.9,1.0,1.8,n/a,10.3,2.7,20.1,0.7,n/a,0.5,11.6,n/a,n/a,n/a,98.6,n/a,n/a,n/a,n/a,n/a,n/a,43,34,17,3,3,94,,,,,,,,,,
R14AC21,AC21-PYX14,Pyroxene,Groundmass,md1,50.4,0.8,0.9,n/a,11.8,2.7,20.0,0.7,n/a,0.6,11.0,n/a,n/a,n/a,98.9,n/a,n/a,n/a,n/a,n/a,n/a,42,32,19,2,4,94,,,,,,,,,,
R14AC21,AC21-PYX15,Pyroxene,Groundmass,md1,50.6,1.1,1.8,n/a,12.5,1.3,19.8,0.6,n/a,0.6,11.2,n/a,n/a,n/a,99.5,n/a,n/a,n/a,n/a,n/a,n/a,41,33,20,3,1,94,,,,,,,,,,
R14AC21,AC21-PYX16,Pyroxene,Groundmass,md1,49.5,1.3,1.8,n/a,12.4,3.1,20.2,0.8,n/a,0.6,10.0,n/a,n/a,n/a,99.7,n/a,n/a,n/a,n/a,n/a,n/a,43,29,21,3,3,93,,,,,,,,,,
R14AC21,AC21-PYX17,Pyroxene,Groundmass,md1,49.0,1.9,2.0,n/a,14.1,2.2,20.3,0.9,n/a,0.5,8.6,n/a,n/a,n/a,99.5,n/a,n/a,n/a,n/a,n/a,n/a,43,25,23,4,3,92,,,,,,,,,,
R14AC21,AC21-PYX18,Pyroxene,Groundmass,md1,50.4,1.0,1.3,n/a,12.7,1.8,20.1,0.6,n/a,0.6,10.8,n/a,n/a,n/a,99.3,n/a,n/a,n/a,n/a,n/a,n/a,42,32,21,2,2,94,,,,,,,,,,
R14AC21,AC21-PYX19,Pyroxene,Groundmass,md1,49.4,1.6,1.8,n/a,13.7,1.7,19.8,0.8,n/a,0.5,9.5,n/a,n/a,n/a,98.8,n/a,n/a,n/a,n/a,n/a,n/a,42,28,23,4,2,93,,,,,,,,,,
R14AC21,AC21-PYX20,Pyroxene,Groundmass,md1,50.9,0.9,1.1,n/a,13.3,1.2,20.0,0.6,n/a,0.6,10.8,n/a,n/a,n/a,99.4,n/a,n/a,n/a,n/a,n/a,n/a,42,31,22,3,2,94,,,,,,,,,,
R14AC21,AC21-PYX21,Pyroxene,Groundmass,md1,49.4,1.7,2.9,n/a,13.6,2.3,19.6,1.4,n/a,0.5,8.0,n/a,n/a,n/a,99.4,n/a,n/a,n/a,n/a,n/a,n/a,42,24,23,7,4,88,,,,,,,,,,
R14AC21,AC21-PYX22,Pyroxene,Groundmass,md1,47.1,2.4,3.9,n/a,9.9,7.0,18.4,2.7,n/a,0.4,6.5,n/a,n/a,n/a,98.3,n/a,n/a,n/a,n/a,n/a,n/a,41,20,17,10,12,78,,,,,,,,,,
R14AC21,AC21-PYX23,Pyroxene,Groundmass,md1,51.5,1.2,3.7,n/a,14.4,BDL,17.9,1.8,n/a,0.4,8.0,n/a,n/a,n/a,98.9,n/a,n/a,n/a,n/a,n/a,n/a,38,24,24,14,0,85,,,,,,,,,,
R14AC21,AC21-PYX24,Pyroxene,Groundmass,md1,49.9,1.2,1.4,n/a,13.5,2.8,20.7,1.0,n/a,0.5,8.6,n/a,n/a,n/a,99.6,n/a,n/a,n/a,n/a,n/a,n/a,44,25,22,3,4,91,,,,,,,,,,
R14AC21,AC21-PYX25,Pyroxene,Groundmass,md1,51.7,1.1,4.0,n/a,14.2,BDL,18.3,1.9,n/a,0.4,7.3,n/a,n/a,n/a,98.9,n/a,n/a,n/a,n/a,n/a,n/a,39,22,24,15,0,85,,,,,,,,,,
R14TS70,TS70-PYX1 ,Pyroxene,Groundmass,oju,49.2,0.5,1.6,n/a,20.6,2.2,19.0,0.8,n/a,1.0,5.3,n/a,n/a,n/a,100.2,n/a,n/a,n/a,n/a,n/a,n/a,41,16,35,3,3,92,,,,,,,,,,
R14TS70,TS70-PYX2,Pyroxene,Groundmass,oju,50.0,0.4,1.0,n/a,17.6,3.9,19.9,1.1,n/a,0.9,6.0,n/a,n/a,n/a,100.8,n/a,n/a,n/a,n/a,n/a,n/a,43,18,29,2,6,90,,,,,,,,,,
R14TS70,TS70-PYX3,Pyroxene,Groundmass,oju,48.8,0.6,1.9,n/a,20.4,1.7,17.8,0.8,n/a,1.0,5.7,n/a,n/a,n/a,98.7,n/a,n/a,n/a,n/a,n/a,n/a,39,17,35,4,2,92,,,,,,,,,,
R14TS70,TS70-PYX4,Pyroxene,Groundmass,oju,48.8,0.5,1.7,n/a,19.7,3.1,18.7,0.9,n/a,1.0,5.7,n/a,n/a,n/a,100.1,n/a,n/a,n/a,n/a,n/a,n/a,41,17,33,3,4,91,,,,,,,,,,
R14TS70,TS70-PYX5,Pyroxene,Groundmass,oju,48.8,0.5,1.5,n/a,19.5,2.9,18.8,0.8,n/a,1.0,5.8,n/a,n/a,n/a,99.6,n/a,n/a,n/a,n/a,n/a,n/a,41,18,33,3,3,92,,,,,,,,,,
R14TS70,TS70-PYX6,Pyroxene,Groundmass,oju,50.2,0.4,0.7,n/a,19.0,2.9,20.0,0.8,n/a,1.0,6.1,n/a,n/a,n/a,101.1,n/a,n/a,n/a,n/a,n/a,n/a,43,18,32,2,4,92,,,,,,,,,,
R14TS70,TS70-PYX7,Pyroxene,Groundmass,oju,50.3,0.5,0.7,n/a,16.9,2.7,20.2,0.7,n/a,1.0,7.6,n/a,n/a,n/a,100.6,n/a,n/a,n/a,n/a,n/a,n/a,43,22,28,2,4,93,,,,,,,,,,
R14TS70,TS70-PYX8,Pyroxene,Groundmass,oju,48.6,0.6,1.1,n/a,19.2,3.1,20.3,0.5,n/a,1.0,5.6,n/a,n/a,n/a,100.0,n/a,n/a,n/a,n/a,n/a,n/a,44,17,33,1,3,94,,,,,,,,,,
R14TS70,TS70-PYX10,Pyroxene,Groundmass,oju,49.5,0.5,0.7,n/a,19.1,2.8,20.0,0.8,n/a,1.1,5.7,n/a,n/a,n/a,100.2,n/a,n/a,n/a,n/a,n/a,n/a,43,17,32,2,4,92,,,,,,,,,,
R14TS70,TS70-PYX11,Pyroxene,Groundmass,oju,49.6,0.5,0.8,n/a,18.0,2.5,19.8,0.8,n/a,1.0,6.4,n/a,n/a,n/a,99.4,n/a,n/a,n/a,n/a,n/a,n/a,43,19,30,2,4,92,,,,,,,,,,
R14TS70,TS70-PYX12,Pyroxene,Groundmass,oju,50.0,0.5,0.7,n/a,18.1,2.4,19.9,0.7,n/a,0.9,6.9,n/a,n/a,n/a,100.1,n/a,n/a,n/a,n/a,n/a,n/a,42,20,30,2,4,93,,,,,,,,,,
R14TS70,TS70-PYX13,Pyroxene,Groundmass,oju,50.1,0.5,1.1,n/a,17.6,2.7,19.9,0.8,n/a,0.9,7.2,n/a,n/a,n/a,100.8,n/a,n/a,n/a,n/a,n/a,n/a,42,21,29,2,4,92,,,,,,,,,,
R14TS70,TS70-PYX14,Pyroxene,Groundmass,oju,50.3,0.5,0.8,n/a,17.7,3.4,20.3,0.9,n/a,1.0,6.7,n/a,n/a,n/a,101.6,n/a,n/a,n/a,n/a,n/a,n/a,43,20,29,2,5,91,,,,,,,,,,
R14TS70,TS70-PYX15,Pyroxene,Groundmass,oju,50.3,0.4,0.8,n/a,17.9,2.9,20.0,0.8,n/a,1.1,6.7,n/a,n/a,n/a,100.9,n/a,n/a,n/a,n/a,n/a,n/a,43,20,30,2,4,92,,,,,,,,,,
R14TS70,TS70-PYX16,Pyroxene,Groundmass,oju,49.9,0.5,1.0,n/a,17.3,2.7,20.0,0.7,n/a,1.0,7.2,n/a,n/a,n/a,100.3,n/a,n/a,n/a,n/a,n/a,n/a,43,21,29,2,3,93,,,,,,,,,,
R14TS70,TS70-PYX17,Pyroxene,Groundmass,oju,50.3,0.6,1.8,n/a,17.2,2.1,18.7,0.8,n/a,0.9,8.6,n/a,n/a,n/a,101.0,n/a,n/a,n/a,n/a,n/a,n/a,39,25,28,3,3,92,,,,,,,,,,
R14TS70,TS70-PYX18,Pyroxene,Groundmass,oju,50.4,0.7,1.9,n/a,17.2,1.6,19.0,0.8,n/a,0.8,8.3,n/a,n/a,n/a,100.7,n/a,n/a,n/a,n/a,n/a,n/a,40,24,28,4,2,93,,,,,,,,,,
R14TS70,TS70-PYX19,Pyroxene,Groundmass,oju,50.2,0.6,1.8,n/a,17.5,2.2,19.0,0.8,n/a,0.9,7.9,n/a,n/a,n/a,100.9,n/a,n/a,n/a,n/a,n/a,n/a,40,23,29,3,3,92,,,,,,,,,,
R14TS70,TS70-PYX20,Pyroxene,Groundmass,oju,50.3,0.6,1.7,n/a,18.3,0.8,18.8,0.7,n/a,0.8,8.0,n/a,n/a,n/a,100.0,n/a,n/a,n/a,n/a,n/a,n/a,40,23,30,4,1,93,,,,,,,,,,
R14TS070,R14TS070-PYX1 ,Pyroxene,Groundmass,oju,50.5,0.5,0.6,n/a,20.4,2.0,20.3,0.8,n/a,1.0,5.6,n/a,n/a,n/a,101.7,n/a,n/a,n/a,n/a,n/a,n/a,43,16,33,2,4,92,,,,,,,,,,
R14TS070,R14TS070-PYX2 ,Pyroxene,Groundmass,oju,50.4,0.6,0.7,n/a,19.9,1.0,20.0,0.7,n/a,1.1,6.0,n/a,n/a,n/a,100.4,n/a,n/a,n/a,n/a,n/a,n/a,42,18,33,3,3,93,,,,,,,,,,
R14TS070,R14TS070-PYX3 ,Pyroxene,Groundmass,oju,50.3,0.5,1.6,n/a,20.9,1.1,19.3,0.7,n/a,0.9,6.0,n/a,n/a,n/a,101.3,n/a,n/a,n/a,n/a,n/a,n/a,41,18,35,4,2,93,,,,,,,,,,
R14TS070,R14TS070-PYX4 ,Pyroxene,Groundmass,oju,50.5,0.5,1.6,n/a,20.2,1.6,19.2,0.8,n/a,1.0,6.3,n/a,n/a,n/a,101.7,n/a,n/a,n/a,n/a,n/a,n/a,40,18,33,4,2,92,,,,,,,,,,
R14TS070,R14TS070-PYX5 ,Pyroxene,Groundmass,oju,48.4,0.9,1.6,n/a,17.8,2.5,19.8,0.9,n/a,0.9,6.0,n/a,n/a,n/a,98.8,n/a,n/a,n/a,n/a,n/a,n/a,43,18,30,4,4,91,,,,,,,,,,
R14TS070,R14TS070-PYX6 ,Pyroxene,Groundmass,oju,49.5,1.0,2.4,n/a,20.1,0.4,20.0,0.5,n/a,0.9,6.2,n/a,n/a,n/a,101.0,n/a,n/a,n/a,n/a,n/a,n/a,43,18,33,3,0.4,95,,,,,,,,,,
R14TS070,R14TS070-PYX7 ,Pyroxene,Groundmass,oju,50.1,0.8,2.3,n/a,19.7,1.6,18.4,0.8,n/a,0.9,7.0,n/a,n/a,n/a,101.6,n/a,n/a,n/a,n/a,n/a,n/a,39,21,33,4,2,92,,,,,,,,,,
R14TS070,R14TS070-PYX8 ,Pyroxene,Groundmass,oju,50.3,0.5,0.5,n/a,22,0.7,20.0,0.9,n/a,1.0,4.4,n/a,n/a,n/a,100.3,n/a,n/a,n/a,n/a,n/a,n/a,42,13,36,4,3,91,,,,,,,,,,
R14TS070,R14TS070-PYX9 ,Pyroxene,Groundmass,oju,48.9,0.9,2.1,n/a,19.5,1.8,19.2,0.8,n/a,1.0,5.8,n/a,n/a,n/a,100.0,n/a,n/a,n/a,n/a,n/a,n/a,42,17,33,4,2,92,,,,,,,,,,
R14TS070,R14TS070-PYX10 ,Pyroxene,Groundmass,oju,50.3,0.5,0.4,n/a,21.5,3.9,18.5,2.0,n/a,1.0,3.0,n/a,n/a,n/a,101.1,n/a,n/a,n/a,n/a,n/a,n/a,39,9,35,2,13,83,,,,,,,,,,
R14TS070,R14TS070-PYX11 ,Pyroxene,Groundmass,oju,49.8,0.5,0.4,n/a,20,5.3,18.4,2.2,n/a,0.9,2.9,n/a,n/a,n/a,100.4,n/a,n/a,n/a,n/a,n/a,n/a,39,9,33,2,15,81,,,,,,,,,,
R14TS070,R14TS070-PYX12 ,Pyroxene,Groundmass,oju,50.7,0.5,0.8,n/a,19,1.3,20.3,0.6,n/a,1.0,6.8,n/a,n/a,n/a,101.0,n/a,n/a,n/a,n/a,n/a,n/a,43,20,31,2,2,94,,,,,,,,,,
R14TS070,R14TS070-PYX13 ,Pyroxene,Groundmass,oju,50.2,0.5,0.5,n/a,21.4,3.4,19.8,1.2,n/a,1.1,4.0,n/a,n/a,n/a,102.1,n/a,n/a,n/a,n/a,n/a,n/a,42,12,35,2,7,89,,,,,,,,,,
R14TS070,R14TS070-PYX14 ,Pyroxene,Groundmass,oju,50.6,0.6,1.0,n/a,19.8,BDL,19.7,0.5,n/a,1.0,7.0,n/a,n/a,n/a,100.2,n/a,n/a,n/a,n/a,n/a,n/a,41,21,33,4,0,95,,,,,,,,,,
R14TS070,R14TS070-PYX15 ,Pyroxene,Groundmass,oju,50.2,0.5,0.5,n/a,21.5,1.4,20.0,0.9,n/a,1.1,4.6,n/a,n/a,n/a,100.7,n/a,n/a,n/a,n/a,n/a,n/a,42,14,35,2,4,91,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX1,Pyroxene,Groundmass,ort,47.5,0.9,2.3,n/a,14.2,3.8,20.5,0.7,n/a,0.6,7.4,n/a,n/a,n/a,97.9,n/a,n/a,n/a,n/a,n/a,n/a,46,23,25,3,3,93,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX2,Pyroxene,Groundmass,ort,46.5,1.4,3.5,n/a,14.8,4.0,19.7,0.8,n/a,0.7,7.0,n/a,n/a,n/a,98.4,n/a,n/a,n/a,n/a,n/a,n/a,44,22,26,4,3,92,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX3,Pyroxene,Groundmass,ort,46.9,1.0,2.8,n/a,14.3,3.6,20.3,0.6,n/a,0.7,7.5,n/a,n/a,n/a,97.7,n/a,n/a,n/a,n/a,n/a,n/a,45,23,25,3,2,94,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX4,Pyroxene,Groundmass,ort,46.5,1.6,3.7,n/a,15.4,3.2,20.3,0.6,n/a,0.7,6.7,n/a,n/a,n/a,98.7,n/a,n/a,n/a,n/a,n/a,n/a,46,21,27,3,2,94,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX5,Pyroxene,Groundmass,ort,46.6,1.2,3.6,n/a,14.2,4.2,20.1,0.8,n/a,0.6,7.1,n/a,n/a,n/a,98.4,n/a,n/a,n/a,n/a,n/a,n/a,45,22,25,4,3,92,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX6,Pyroxene,Groundmass,ort,47.0,1.3,3.0,n/a,14.2,4.8,20.2,0.8,n/a,0.6,7.2,n/a,n/a,n/a,99.1,n/a,n/a,n/a,n/a,n/a,n/a,45,22,25,3,3,92,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX7,Pyroxene,Groundmass,ort,48.8,0.5,1.4,n/a,17.3,1.0,20.7,0.4,n/a,0.7,7.0,n/a,n/a,n/a,97.8,n/a,n/a,n/a,n/a,n/a,n/a,45,21,29,2,1,96,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX8,Pyroxene,Groundmass,ort,46.8,1.5,3.6,n/a,16.1,3.5,20.0,0.8,n/a,0.7,6.4,n/a,n/a,n/a,99.4,n/a,n/a,n/a,n/a,n/a,n/a,45,20,28,4,2,92,,,,,,,,,,
R16DD109,R15DD109-GM-PYRX9,Pyroxene,Groundmass,ort,46.5,1.5,3.4,n/a,15.9,3.0,19.9,0.8,n/a,0.6,6.2,n/a,n/a,n/a,97.8,n/a,n/a,n/a,n/a,n/a,n/a,45,19,28,4,2,92,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX1,Pyroxene,Groundmass,td1,51.8,1.2,0.8,n/a,5.8,24.9,4.9,10.8,n/a,0.5,BDL,n/a,n/a,n/a,100.7,n/a,n/a,n/a,n/a,n/a,n/a,10,0,9,4,76,19,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX2,Pyroxene,Groundmass,td1,52.4,0.9,0.9,n/a,1.6,29.5,2.5,12.4,n/a,0.4,BDL,n/a,n/a,n/a,100.6,n/a,n/a,n/a,n/a,n/a,n/a,5,0,3,4,88,8,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX3,Pyroxene,Groundmass,td1,51.5,1.4,0.8,n/a,3.9,26.7,3.3,11.7,n/a,0.4,BDL,n/a,n/a,n/a,99.7,n/a,n/a,n/a,n/a,n/a,n/a,7,0,6,4,83,13,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX4,Pyroxene,Groundmass,td1,52.0,1.1,1.0,n/a,0.6,30.1,1.9,12.7,n/a,0.4,BDL,n/a,n/a,n/a,99.8,n/a,n/a,n/a,n/a,n/a,n/a,4,0,1,5,90,5,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX5,Pyroxene,Groundmass,td1,51.5,1.2,0.7,n/a,1.4,29.3,3.7,12.1,n/a,0.5,BDL,n/a,n/a,n/a,100.4,n/a,n/a,n/a,n/a,n/a,n/a,8,0,2,3,86,10,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX6,Pyroxene,Groundmass,td1,51.8,0.5,0.5,n/a,BDL,34.7,1.5,13.4,n/a,0.3,BDL,n/a,n/a,n/a,102.7,n/a,n/a,n/a,n/a,n/a,n/a,3,0,0,2,94,3,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX7,Pyroxene,Groundmass,td1,51.8,1.0,1.4,n/a,5.8,24.2,4.9,10.7,n/a,0.5,BDL,n/a,n/a,n/a,100.3,n/a,n/a,n/a,n/a,n/a,n/a,10,0,9,7,73,19,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX8,Pyroxene,Groundmass,td1,52.0,1.1,2.0,n/a,7.0,22.1,4.8,10.4,n/a,0.5,BDL,n/a,n/a,n/a,99.9,n/a,n/a,n/a,n/a,n/a,n/a,10,0,11,10,68,21,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX9,Pyroxene,Groundmass,td1,52.0,0.6,0.6,n/a,BDL,33.9,1.5,13.2,n/a,0.3,BDL,n/a,n/a,n/a,102.1,n/a,n/a,n/a,n/a,n/a,n/a,3,0,0,3,94,3,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX10,Pyroxene,Groundmass,td1,51.1,1.6,0.6,n/a,4.9,25.5,5.2,10.8,n/a,0.6,0.1,n/a,n/a,n/a,100.4,n/a,n/a,n/a,n/a,n/a,n/a,11,0.3,8,3,77,19,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX11,Pyroxene,Groundmass,td1,51.7,0.9,0.5,n/a,1.7,29.7,2.8,12.3,n/a,0.5,BDL,n/a,n/a,n/a,100.1,n/a,n/a,n/a,n/a,n/a,n/a,6,0,3,2,88,8,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX12,Pyroxene,Groundmass,td1,52.1,1.0,0.5,n/a,2.4,28.8,2.5,12.3,n/a,0.4,BDL,n/a,n/a,n/a,100.0,n/a,n/a,n/a,n/a,n/a,n/a,5,0,4,2,88,9,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX14,Pyroxene,Groundmass,td1,51.9,1.2,0.7,n/a,4.9,26.5,5.0,11.0,n/a,0.5,BDL,n/a,n/a,n/a,101.7,n/a,n/a,n/a,n/a,n/a,n/a,10,0,8,3,78,18,,,,,,,,,,
R14AC17,R14AC017-GM-PYRX15,Pyroxene,Groundmass,td1,52.7,0.7,0.6,n/a,1.6,31.1,1.6,12.9,n/a,0.3,BDL,n/a,n/a,n/a,101.5,n/a,n/a,n/a,n/a,n/a,n/a,3,0,3,3,91,6,,,,,,,,,,
